NA	NA-NA	NA
families	1-WORD	62
family	1-WORD	140
famous	1-WORD	4
fan	1-WORD	18
fans	1-WORD	7
far	1-WORD	59
fargo	1-WORD	12
farm	1-WORD	3
farmers	1-WORD	5
fascinating	1-WORD	4
fashion	1-WORD	8
fast	1-WORD	7
fat	1-WORD	6
fatal	1-WORD	3
fatally	1-WORD	3
fate	1-WORD	5
father	1-WORD	29
fault	1-WORD	24
favor	1-WORD	9
favorite	1-WORD	5
fbi	1-WORD	3
fear	1-WORD	38
feared	1-WORD	3
fears	1-WORD	4
federal	1-WORD	12
feed	1-WORD	8
feeding	1-WORD	3
feel	1-WORD	351
feeling	1-WORD	41
feelings	1-WORD	29
feels	1-WORD	23
feet	1-WORD	4
fell	1-WORD	20
fellow	1-WORD	4
felt	1-WORD	47
female	1-WORD	13
females	1-WORD	3
fence	1-WORD	4
fernandez	1-WORD	3
fetus	1-WORD	3
few	1-WORD	51
fewer	1-WORD	4
field	1-WORD	8
fifteen	1-WORD	3
fifty	1-WORD	3
fight	1-WORD	27
fighter	1-WORD	5
fighters	1-WORD	3
fighting	1-WORD	30
fights	1-WORD	5
figure	1-WORD	24
figures	1-WORD	7
file	1-WORD	4
filed	1-WORD	4
fill	1-WORD	3
filled	1-WORD	8
filthy	1-WORD	3
finally	1-WORD	18
financial	1-WORD	7
financially	1-WORD	3
find	1-WORD	116
finding	1-WORD	12
fine	1-WORD	12
fines	1-WORD	3
finger	1-WORD	3
fingers	1-WORD	3
finish	1-WORD	3
finished	1-WORD	5
fire	1-WORD	35
fired	1-WORD	9
firefighters	1-WORD	4
fires	1-WORD	18
fireworks	1-WORD	3
firm	1-WORD	3
firmly	1-WORD	4
first	1-WORD	73
fish	1-WORD	14
fist	1-WORD	3
fit	1-WORD	3
five	1-WORD	13
fix	1-WORD	19
fixed	1-WORD	3
flames	1-WORD	4
flat	1-WORD	3
flee	1-WORD	7
fleeing	1-WORD	7
flint	1-WORD	9
flip	1-WORD	4
flood	1-WORD	3
flooded	1-WORD	4
flooding	1-WORD	4
floods	1-WORD	5
florida	1-WORD	7
fluid	1-WORD	3
fly	1-WORD	3
flying	1-WORD	4
focus	1-WORD	16
focused	1-WORD	10
focusing	1-WORD	5
follow	1-WORD	12
following	1-WORD	10
follows	1-WORD	3
font	1-WORD	30
food	1-WORD	57
foods	1-WORD	5
fool	1-WORD	3
foot	1-WORD	3
for	1-WORD	941
force	1-WORD	24
forced	1-WORD	25
forces	1-WORD	14
forcing	1-WORD	4
foreign	1-WORD	9
foreseeable	1-WORD	3
forest	1-WORD	14
forests	1-WORD	9
forever	1-WORD	12
forget	1-WORD	10
forgot	1-WORD	6
forgotten	1-WORD	6
form	1-WORD	13
former	1-WORD	8
fortunate	1-WORD	9
fortunately	1-WORD	5
forward	1-WORD	16
fossil	1-WORD	3
foster	1-WORD	3
fought	1-WORD	5
foul	1-WORD	3
found	1-WORD	76
foundation	1-WORD	3
fountains	1-WORD	3
four	1-WORD	19
france	1-WORD	10
frankly	1-WORD	4
freak	1-WORD	4
freaking	1-WORD	4
free	1-WORD	22
freedom	1-WORD	11
french	1-WORD	3
frequently	1-WORD	3
fresh	1-WORD	5
friday	1-WORD	6
friend	1-WORD	53
friends	1-WORD	37
frightening	1-WORD	4
frog	1-WORD	5
from	1-WORD	394
front	1-WORD	12
frustrated	1-WORD	4
frustrating	1-WORD	7
fuck	1-WORD	7
fucked	1-WORD	7
fucking	1-WORD	7
fuel	1-WORD	10
full	1-WORD	21
fullest	1-WORD	4
fully	1-WORD	16
fun	1-WORD	15
function	1-WORD	3
funding	1-WORD	4
funny	1-WORD	17
further	1-WORD	25
future	1-WORD	47
gain	1-WORD	7
gallons	1-WORD	3
game	1-WORD	12
gap	1-WORD	8
garbage	1-WORD	7
garden	1-WORD	3
gardens	1-WORD	3
gas	1-WORD	15
gassed	1-WORD	4
gathered	1-WORD	4
gave	1-WORD	13
gay	1-WORD	11
gaza	1-WORD	4
gender	1-WORD	6
general	1-WORD	23
generally	1-WORD	11
generation	1-WORD	10
generations	1-WORD	12
genes	1-WORD	3
genetic	1-WORD	4
geneva	1-WORD	3
genocide	1-WORD	3
george	1-WORD	4
georgia	1-WORD	4
germany	1-WORD	4
get	1-WORD	317
gets	1-WORD	41
getting	1-WORD	94
giant	1-WORD	8
girl	1-WORD	21
girlfriend	1-WORD	3
girls	1-WORD	15
give	1-WORD	41
given	1-WORD	30
gives	1-WORD	5
giving	1-WORD	15
glad	1-WORD	53
glasses	1-WORD	6
global	1-WORD	43
globally	1-WORD	4
globe	1-WORD	4
go	1-WORD	197
goal	1-WORD	4
god	1-WORD	30
goes	1-WORD	45
going	1-WORD	260
gold	1-WORD	4
golf	1-WORD	3
gon	1-WORD	6
gone	1-WORD	32
good	1-WORD	151
goodness	1-WORD	5
goods	1-WORD	5
google	1-WORD	3
gorilla	1-WORD	4
gosh	1-WORD	5
got	1-WORD	94
gotten	1-WORD	11
government	1-WORD	106
governments	1-WORD	10
graffiti	1-WORD	4
grand	1-WORD	5
grandchildren	1-WORD	5
grandmother	1-WORD	3
granted	1-WORD	12
grass	1-WORD	3
grateful	1-WORD	11
great	1-WORD	65
greater	1-WORD	4
greatly	1-WORD	5
greece	1-WORD	3
greed	1-WORD	3
green	1-WORD	6
grew	1-WORD	5
grief	1-WORD	3
grooming	1-WORD	3
ground	1-WORD	9
grounds	1-WORD	4
group	1-WORD	34
groups	1-WORD	24
grow	1-WORD	13
growing	1-WORD	13
grown	1-WORD	8
growth	1-WORD	3
gruesome	1-WORD	6
guarantee	1-WORD	5
guard	1-WORD	3
guardianship	1-WORD	11
guards	1-WORD	4
guess	1-WORD	78
guessing	1-WORD	3
guide	1-WORD	3
guilt	1-WORD	6
guilty	1-WORD	15
gulf	1-WORD	3
gun	1-WORD	36
guns	1-WORD	26
guy	1-WORD	80
guys	1-WORD	29
ha	1-WORD	8
habitat	1-WORD	9
habitats	1-WORD	8
habits	1-WORD	5
hacked	1-WORD	3
had	1-WORD	284
haiti	1-WORD	11
haitians	1-WORD	4
half	1-WORD	14
halloween	1-WORD	5
hammer	1-WORD	3
hand	1-WORD	33
handed	1-WORD	3
handful	1-WORD	3
handle	1-WORD	10
handled	1-WORD	4
handling	1-WORD	4
hands	1-WORD	16
happen	1-WORD	109
happened	1-WORD	104
happening	1-WORD	84
happens	1-WORD	55
happiness	1-WORD	4
happy	1-WORD	39
harassed	1-WORD	4
harassment	1-WORD	8
hard	1-WORD	120
harder	1-WORD	9
hardly	1-WORD	5
harm	1-WORD	30
harmed	1-WORD	7
harmful	1-WORD	6
harming	1-WORD	6
harmless	1-WORD	3
has	1-WORD	372
hat	1-WORD	3
hate	1-WORD	72
hated	1-WORD	4
hatred	1-WORD	7
hats	1-WORD	4
have	1-WORD	855
having	1-WORD	95
haze	1-WORD	4
he	1-WORD	285
head	1-WORD	19
heads	1-WORD	7
healing	1-WORD	4
health	1-WORD	69
healthy	1-WORD	9
hear	1-WORD	107
heard	1-WORD	58
hearing	1-WORD	29
heart	1-WORD	52
heartbreaking	1-WORD	18
heartbroken	1-WORD	4
hearts	1-WORD	4
heat	1-WORD	6
heated	1-WORD	5
heavy	1-WORD	10
hefty	1-WORD	3
held	1-WORD	18
hell	1-WORD	14
hello	1-WORD	33
help	1-WORD	172
helped	1-WORD	10
helpful	1-WORD	7
helping	1-WORD	23
helpless	1-WORD	8
helps	1-WORD	10
her	1-WORD	154
herd	1-WORD	3
here	1-WORD	124
heritage	1-WORD	5
hero	1-WORD	3
herself	1-WORD	15
hey	1-WORD	85
hi	1-WORD	9
hidden	1-WORD	5
hide	1-WORD	5
hiding	1-WORD	7
high	1-WORD	43
higher	1-WORD	12
highest	1-WORD	8
highlights	1-WORD	3
highly	1-WORD	8
highway	1-WORD	4
hiker	1-WORD	3
hiking	1-WORD	3
hillary	1-WORD	11
him	1-WORD	143
himself	1-WORD	19
his	1-WORD	204
historical	1-WORD	3
history	1-WORD	17
hit	1-WORD	25
hitler	1-WORD	4
hitting	1-WORD	5
hold	1-WORD	10
holding	1-WORD	6
hole	1-WORD	3
hollywood	1-WORD	8
holocaust	1-WORD	4
holy	1-WORD	3
home	1-WORD	51
homeless	1-WORD	5
homes	1-WORD	24
homosexuality	1-WORD	3
hon	1-WORD	3
honest	1-WORD	3
honestly	1-WORD	17
honesty	1-WORD	3
honor	1-WORD	5
hope	1-WORD	177
hopeful	1-WORD	4
hopefully	1-WORD	33
hopeless	1-WORD	6
hopes	1-WORD	3
hoping	1-WORD	10
horrible	1-WORD	71
horrid	1-WORD	4
horrific	1-WORD	11
horrifying	1-WORD	13
horror	1-WORD	4
horrors	1-WORD	3
horses	1-WORD	5
hospital	1-WORD	15
hospitalized	1-WORD	5
hospitals	1-WORD	6
host	1-WORD	4
hostile	1-WORD	3
hot	1-WORD	13
hotel	1-WORD	3
hour	1-WORD	8
hours	1-WORD	14
house	1-WORD	33
houses	1-WORD	3
housing	1-WORD	3
houston	1-WORD	3
how	1-WORD	461
however	1-WORD	42
hug	1-WORD	4
huge	1-WORD	38
huh	1-WORD	3
human	1-WORD	77
humanitarian	1-WORD	5
humanity	1-WORD	11
humans	1-WORD	46
humble	1-WORD	4
hundred	1-WORD	3
hundreds	1-WORD	16
hunger	1-WORD	5
hungry	1-WORD	4
hunt	1-WORD	7
hunters	1-WORD	3
hunting	1-WORD	3
hurricane	1-WORD	4
hurt	1-WORD	49
hurtful	1-WORD	5
hurting	1-WORD	11
hurts	1-WORD	6
husband	1-WORD	14
i	1-WORD	1430
ice	1-WORD	7
iconic	1-WORD	3
idea	1-WORD	56
ideal	1-WORD	5
ideals	1-WORD	3
ideas	1-WORD	7
identify	1-WORD	5
identity	1-WORD	3
ideology	1-WORD	5
idiot	1-WORD	9
idiots	1-WORD	8
if	1-WORD	417
ignorance	1-WORD	5
ignorant	1-WORD	6
ignore	1-WORD	11
ignored	1-WORD	5
ill	1-WORD	16
illegal	1-WORD	18
illegally	1-WORD	9
illness	1-WORD	16
illnesses	1-WORD	3
images	1-WORD	4
imagine	1-WORD	133
imagining	1-WORD	5
immediate	1-WORD	4
immediately	1-WORD	6
immigrant	1-WORD	5
immigrants	1-WORD	11
immigration	1-WORD	16
immoral	1-WORD	5
immune	1-WORD	4
immunity	1-WORD	4
impact	1-WORD	23
impacted	1-WORD	4
impacts	1-WORD	3
implement	1-WORD	3
importance	1-WORD	6
important	1-WORD	60
impossible	1-WORD	10
improve	1-WORD	9
improved	1-WORD	3
improvements	1-WORD	3
in	1-WORD	1284
incident	1-WORD	26
incidents	1-WORD	11
included	1-WORD	3
including	1-WORD	25
income	1-WORD	4
incompetent	1-WORD	3
increase	1-WORD	12
increased	1-WORD	7
increasing	1-WORD	6
increasingly	1-WORD	3
incredible	1-WORD	6
incredibly	1-WORD	13
indeed	1-WORD	3
india	1-WORD	18
indian	1-WORD	9
indicated	1-WORD	4
indigenous	1-WORD	3
indirectly	1-WORD	4
individual	1-WORD	17
individuals	1-WORD	25
indonesia	1-WORD	8
industries	1-WORD	5
industry	1-WORD	14
infants	1-WORD	3
infected	1-WORD	5
infection	1-WORD	4
inflict	1-WORD	4
influence	1-WORD	11
influenced	1-WORD	5
influential	1-WORD	3
info	1-WORD	5
information	1-WORD	34
informative	1-WORD	5
informed	1-WORD	3
infrastructure	1-WORD	6
infuriating	1-WORD	4
ingrained	1-WORD	3
inhumane	1-WORD	4
initial	1-WORD	5
initially	1-WORD	3
injection	1-WORD	3
injured	1-WORD	35
injuries	1-WORD	18
injury	1-WORD	5
injustice	1-WORD	3
innocent	1-WORD	47
ins	1-WORD	3
insane	1-WORD	16
insanity	1-WORD	6
inside	1-WORD	14
inst	1-WORD	5
instagram	1-WORD	4
instance	1-WORD	4
instances	1-WORD	5
instead	1-WORD	48
institute	1-WORD	3
institutions	1-WORD	3
insurance	1-WORD	4
intelligence	1-WORD	5
intelligent	1-WORD	4
intended	1-WORD	5
intense	1-WORD	8
intensity	1-WORD	3
intentions	1-WORD	3
interaction	1-WORD	3
interest	1-WORD	13
interested	1-WORD	24
interesting	1-WORD	61
interests	1-WORD	5
interfere	1-WORD	3
interfering	1-WORD	4
international	1-WORD	15
internet	1-WORD	14
intervention	1-WORD	4
interview	1-WORD	4
into	1-WORD	182
introduce	1-WORD	4
invading	1-WORD	6
invasion	1-WORD	3
investigated	1-WORD	6
investigating	1-WORD	3
investigation	1-WORD	10
investigations	1-WORD	3
involved	1-WORD	58
involvement	1-WORD	6
involves	1-WORD	4
involving	1-WORD	13
iran	1-WORD	3
iraq	1-WORD	14
iraqi	1-WORD	12
iraqis	1-WORD	3
iron	1-WORD	3
irrelevant	1-WORD	3
irresponsible	1-WORD	3
is	1-WORD	1264
isis	1-WORD	25
islamic	1-WORD	12
island	1-WORD	3
isolated	1-WORD	5
issue	1-WORD	68
issues	1-WORD	74
it	1-WORD	1320
items	1-WORD	4
its	1-WORD	141
itself	1-WORD	17
iud	1-WORD	3
ivory	1-WORD	7
jail	1-WORD	19
janet	1-WORD	3
jealous	1-WORD	4
jenner	1-WORD	3
jerk	1-WORD	5
jet	1-WORD	3
jewelry	1-WORD	5
jewish	1-WORD	5
jews	1-WORD	3
job	1-WORD	37
jobs	1-WORD	20
joe	1-WORD	3
john	1-WORD	3
join	1-WORD	5
joke	1-WORD	8
jokes	1-WORD	3
jones	1-WORD	3
jordan	1-WORD	5
josh	1-WORD	3
journalist	1-WORD	3
journalists	1-WORD	4
judge	1-WORD	7
judging	1-WORD	3
judgment	1-WORD	5
jump	1-WORD	3
jumping	1-WORD	3
jungle	1-WORD	8
junk	1-WORD	4
jury	1-WORD	4
just	1-WORD	704
justice	1-WORD	29
justified	1-WORD	6
justify	1-WORD	3
kashmir	1-WORD	3
kate	1-WORD	3
keep	1-WORD	66
keeping	1-WORD	11
keeps	1-WORD	8
keisha	1-WORD	5
kenya	1-WORD	3
kept	1-WORD	9
key	1-WORD	4
kicking	1-WORD	3
kid	1-WORD	22
kidding	1-WORD	3
kidnapped	1-WORD	3
kids	1-WORD	87
kill	1-WORD	62
killed	1-WORD	112
killer	1-WORD	6
killers	1-WORD	4
killing	1-WORD	55
killings	1-WORD	6
kills	1-WORD	6
kim	1-WORD	8
kind	1-WORD	126
kinda	1-WORD	6
kinds	1-WORD	16
king	1-WORD	4
kitten	1-WORD	4
kkk	1-WORD	3
knew	1-WORD	32
know	1-WORD	346
knowing	1-WORD	27
knowledge	1-WORD	10
known	1-WORD	26
knows	1-WORD	15
korea	1-WORD	9
kyle	1-WORD	3
lack	1-WORD	21
laden	1-WORD	4
ladies	1-WORD	3
lady	1-WORD	13
lakes	1-WORD	4
land	1-WORD	29
lands	1-WORD	4
language	1-WORD	9
large	1-WORD	19
largely	1-WORD	4
larger	1-WORD	6
largest	1-WORD	7
last	1-WORD	41
lasting	1-WORD	3
late	1-WORD	16
lately	1-WORD	14
later	1-WORD	29
latest	1-WORD	6
latin	1-WORD	4
laugh	1-WORD	7
launched	1-WORD	4
law	1-WORD	30
lawmakers	1-WORD	3
laws	1-WORD	29
lawsuit	1-WORD	5
lawyer	1-WORD	4
lazy	1-WORD	3
lead	1-WORD	23
leader	1-WORD	10
leaders	1-WORD	11
leading	1-WORD	6
leads	1-WORD	9
leaks	1-WORD	3
learn	1-WORD	27
learned	1-WORD	29
learning	1-WORD	10
leash	1-WORD	3
least	1-WORD	48
leave	1-WORD	46
leaves	1-WORD	3
leaving	1-WORD	12
led	1-WORD	14
left	1-WORD	45
leg	1-WORD	6
legal	1-WORD	11
legally	1-WORD	5
legs	1-WORD	3
lenses	1-WORD	4
lente	1-WORD	3
leonard	1-WORD	5
leprosy	1-WORD	3
less	1-WORD	60
lesson	1-WORD	4
let	1-WORD	87
lethal	1-WORD	6
lets	1-WORD	5
letting	1-WORD	6
level	1-WORD	14
levels	1-WORD	8
liable	1-WORD	3
liberal	1-WORD	10
liberals	1-WORD	8
license	1-WORD	3
lie	1-WORD	6
lies	1-WORD	4
life	1-WORD	208
lifestyle	1-WORD	7
lifetime	1-WORD	6
light	1-WORD	18
like	1-WORD	538
liked	1-WORD	5
likely	1-WORD	31
likes	1-WORD	6
limit	1-WORD	4
line	1-WORD	21
lines	1-WORD	4
link	1-WORD	5
linked	1-WORD	5
lions	1-WORD	3
list	1-WORD	7
listen	1-WORD	11
literally	1-WORD	13
little	1-WORD	101
live	1-WORD	140
lived	1-WORD	19
lives	1-WORD	132
living	1-WORD	52
load	1-WORD	3
local	1-WORD	25
location	1-WORD	6
locations	1-WORD	3
locked	1-WORD	5
lone	1-WORD	3
long	1-WORD	91
longer	1-WORD	27
look	1-WORD	68
looked	1-WORD	6
looking	1-WORD	29
looks	1-WORD	17
looting	1-WORD	3
lose	1-WORD	48
losing	1-WORD	23
loss	1-WORD	28
lost	1-WORD	80
lot	1-WORD	159
lots	1-WORD	8
loud	1-WORD	5
louisiana	1-WORD	3
love	1-WORD	49
loved	1-WORD	19
lover	1-WORD	4
loving	1-WORD	4
low	1-WORD	15
lower	1-WORD	9
luckily	1-WORD	4
lucky	1-WORD	12
lung	1-WORD	4
lungs	1-WORD	3
luxury	1-WORD	3
lying	1-WORD	8
mad	1-WORD	11
made	1-WORD	96
magazine	1-WORD	6
magnitude	1-WORD	3
mail	1-WORD	4
maimed	1-WORD	3
main	1-WORD	13
mainly	1-WORD	5
mainstream	1-WORD	3
maintain	1-WORD	5
maintaining	1-WORD	3
maintenance	1-WORD	3
majestic	1-WORD	3
major	1-WORD	31
majority	1-WORD	13
make	1-WORD	189
makes	1-WORD	153
making	1-WORD	56
male	1-WORD	12
males	1-WORD	4
mall	1-WORD	3
man	1-WORD	130
manage	1-WORD	4
management	1-WORD	4
manhattan	1-WORD	3
manner	1-WORD	7
many	1-WORD	257
march	1-WORD	4
mark	1-WORD	3
market	1-WORD	4
marriage	1-WORD	5
married	1-WORD	7
mask	1-WORD	3
mass	1-WORD	21
massive	1-WORD	14
mate	1-WORD	6
material	1-WORD	4
matter	1-WORD	54
matters	1-WORD	4
matthew	1-WORD	3
maximum	1-WORD	3
may	1-WORD	89
maybe	1-WORD	97
mayor	1-WORD	6
me	1-WORD	355
meal	1-WORD	8
mean	1-WORD	61
meaning	1-WORD	4
meaningless	1-WORD	3
means	1-WORD	21
meant	1-WORD	7
meantime	1-WORD	5
meanwhile	1-WORD	5
measures	1-WORD	11
meat	1-WORD	9
media	1-WORD	44
medical	1-WORD	17
medication	1-WORD	4
medicine	1-WORD	4
mediterranean	1-WORD	6
meet	1-WORD	8
melting	1-WORD	4
member	1-WORD	14
members	1-WORD	19
memorial	1-WORD	3
memories	1-WORD	8
men	1-WORD	49
mental	1-WORD	33
mentally	1-WORD	13
mention	1-WORD	11
mentioned	1-WORD	9
mentions	1-WORD	3
mercury	1-WORD	3
mercy	1-WORD	3
mess	1-WORD	18
message	1-WORD	11
messages	1-WORD	3
messed	1-WORD	14
messing	1-WORD	6
met	1-WORD	5
metal	1-WORD	5
method	1-WORD	7
methods	1-WORD	3
mexican	1-WORD	7
mexico	1-WORD	12
mi	1-WORD	5
mice	1-WORD	4
michael	1-WORD	9
michigan	1-WORD	5
middle	1-WORD	54
midst	1-WORD	3
might	1-WORD	65
migrants	1-WORD	9
migrate	1-WORD	3
mike	1-WORD	4
miles	1-WORD	10
militants	1-WORD	3
military	1-WORD	27
militias	1-WORD	3
millennial	1-WORD	3
million	1-WORD	19
millions	1-WORD	18
mind	1-WORD	20
minded	1-WORD	3
minding	1-WORD	5
minds	1-WORD	5
mine	1-WORD	9
minimize	1-WORD	3
minimum	1-WORD	3
mining	1-WORD	6
minister	1-WORD	3
minor	1-WORD	6
minorities	1-WORD	8
minority	1-WORD	4
minute	1-WORD	3
minutes	1-WORD	4
miserable	1-WORD	4
misfortune	1-WORD	3
miss	1-WORD	6
missed	1-WORD	8
missing	1-WORD	7
mission	1-WORD	4
mistake	1-WORD	6
mistakes	1-WORD	7
mix	1-WORD	3
mixed	1-WORD	6
mock	1-WORD	3
model	1-WORD	4
models	1-WORD	5
modern	1-WORD	7
moldovan	1-WORD	3
molested	1-WORD	3
molester	1-WORD	3
mom	1-WORD	10
moment	1-WORD	22
moments	1-WORD	4
money	1-WORD	89
mongering	1-WORD	3
monitor	1-WORD	3
monitored	1-WORD	3
monsters	1-WORD	3
month	1-WORD	12
months	1-WORD	15
monty	1-WORD	3
moore	1-WORD	5
moral	1-WORD	10
morally	1-WORD	5
more	1-WORD	382
morning	1-WORD	10
mosquito	1-WORD	3
most	1-WORD	111
mostly	1-WORD	17
mosul	1-WORD	14
mother	1-WORD	42
mothers	1-WORD	7
motivated	1-WORD	3
motive	1-WORD	8
mountains	1-WORD	4
mouth	1-WORD	4
move	1-WORD	33
moved	1-WORD	9
movement	1-WORD	5
movie	1-WORD	4
movies	1-WORD	4
moving	1-WORD	15
mr.	1-WORD	4
ms	1-WORD	4
much	1-WORD	229
mud	1-WORD	3
multiple	1-WORD	14
murder	1-WORD	31
murdered	1-WORD	10
murderer	1-WORD	6
murders	1-WORD	3
music	1-WORD	16
muslim	1-WORD	21
muslims	1-WORD	15
must	1-WORD	110
my	1-WORD	239
myanmar	1-WORD	3
myself	1-WORD	40
n't	1-WORD	702
name	1-WORD	15
named	1-WORD	8
names	1-WORD	3
nasty	1-WORD	7
nation	1-WORD	26
national	1-WORD	16
nations	1-WORD	12
native	1-WORD	17
natural	1-WORD	37
nature	1-WORD	30
nazi	1-WORD	4
near	1-WORD	39
nearby	1-WORD	6
nearly	1-WORD	13
necessarily	1-WORD	7
necessary	1-WORD	13
need	1-WORD	221
needed	1-WORD	19
needless	1-WORD	3
needs	1-WORD	87
negative	1-WORD	19
negatively	1-WORD	5
neglect	1-WORD	3
negligence	1-WORD	4
neighbor	1-WORD	3
neighborhood	1-WORD	3
neighborhoods	1-WORD	4
neighboring	1-WORD	3
neighbors	1-WORD	3
neither	1-WORD	7
nerve	1-WORD	7
nervous	1-WORD	3
network	1-WORD	3
nevada	1-WORD	3
never	1-WORD	160
new	1-WORD	75
news	1-WORD	99
newspaper	1-WORD	6
next	1-WORD	40
nice	1-WORD	16
nigeria	1-WORD	5
night	1-WORD	14
nightmare	1-WORD	3
nineteen	1-WORD	3
no	1-WORD	332
nobody	1-WORD	16
noise	1-WORD	3
non	1-WORD	14
none	1-WORD	8
nonsense	1-WORD	12
nor	1-WORD	4
norm	1-WORD	3
normal	1-WORD	15
normally	1-WORD	4
north	1-WORD	17
northeast	1-WORD	3
not	1-WORD	729
note	1-WORD	6
notes	1-WORD	3
nothing	1-WORD	93
notice	1-WORD	7
noticed	1-WORD	9
nov.	1-WORD	3
november	1-WORD	6
now	1-WORD	205
nowadays	1-WORD	8
nowhere	1-WORD	4
nt	1-WORD	27
nuclear	1-WORD	4
nude	1-WORD	3
numb	1-WORD	5
number	1-WORD	27
numbers	1-WORD	12
numerous	1-WORD	10
n’t	1-WORD	29
oak	1-WORD	3
obama	1-WORD	19
obese	1-WORD	4
obesity	1-WORD	5
obtain	1-WORD	3
obvious	1-WORD	10
obviously	1-WORD	19
occur	1-WORD	6
occurred	1-WORD	12
occurrence	1-WORD	6
occurring	1-WORD	5
occurs	1-WORD	4
oceans	1-WORD	4
odd	1-WORD	7
odds	1-WORD	4
of	1-WORD	1417
off	1-WORD	73
offended	1-WORD	3
offer	1-WORD	10
office	1-WORD	25
officer	1-WORD	23
officers	1-WORD	25
official	1-WORD	4
officials	1-WORD	13
often	1-WORD	50
oh	1-WORD	21
oil	1-WORD	25
ok	1-WORD	14
okay	1-WORD	18
oklahoma	1-WORD	3
old	1-WORD	68
older	1-WORD	15
omen	1-WORD	3
on	1-WORD	621
once	1-WORD	27
one	1-WORD	350
ones	1-WORD	52
ongoing	1-WORD	5
online	1-WORD	14
only	1-WORD	176
onto	1-WORD	7
open	1-WORD	32
opened	1-WORD	5
opening	1-WORD	6
operation	1-WORD	4
operations	1-WORD	6
opined	1-WORD	3
opinion	1-WORD	26
opinions	1-WORD	7
opportunities	1-WORD	3
opportunity	1-WORD	11
opposed	1-WORD	3
opposition	1-WORD	6
option	1-WORD	9
options	1-WORD	7
or	1-WORD	398
orangutan	1-WORD	5
orangutans	1-WORD	4
ordeal	1-WORD	5
order	1-WORD	33
ordered	1-WORD	4
orders	1-WORD	3
ordinary	1-WORD	5
organization	1-WORD	17
organizations	1-WORD	10
original	1-WORD	3
other	1-WORD	227
others	1-WORD	64
otherwise	1-WORD	7
ought	1-WORD	3
our	1-WORD	249
ours	1-WORD	3
ourselves	1-WORD	15
out	1-WORD	392
outbreak	1-WORD	8
outcome	1-WORD	6
outcomes	1-WORD	3
outer	1-WORD	3
outrage	1-WORD	4
outrageous	1-WORD	8
outside	1-WORD	20
over	1-WORD	221
overall	1-WORD	11
overcome	1-WORD	5
overdoses	1-WORD	3
overdosing	1-WORD	3
own	1-WORD	129
owner	1-WORD	5
owners	1-WORD	10
pack	1-WORD	4
pages	1-WORD	3
paid	1-WORD	15
pain	1-WORD	26
painful	1-WORD	7
pakistan	1-WORD	10
paper	1-WORD	4
paralysis	1-WORD	5
parent	1-WORD	12
parents	1-WORD	53
paris	1-WORD	18
park	1-WORD	17
parks	1-WORD	8
part	1-WORD	55
particular	1-WORD	12
particularly	1-WORD	18
parties	1-WORD	6
partner	1-WORD	5
partners	1-WORD	3
parts	1-WORD	13
party	1-WORD	14
pass	1-WORD	7
passed	1-WORD	20
passengers	1-WORD	3
passing	1-WORD	11
past	1-WORD	34
path	1-WORD	3
pathetic	1-WORD	6
patients	1-WORD	7
pattern	1-WORD	3
pay	1-WORD	24
paying	1-WORD	16
pays	1-WORD	3
peace	1-WORD	28
peaceful	1-WORD	12
peacefully	1-WORD	7
peers	1-WORD	3
pellets	1-WORD	5
penalty	1-WORD	4
pennsylvania	1-WORD	3
people	1-WORD	848
peoples	1-WORD	12
per	1-WORD	10
perceived	1-WORD	4
percent	1-WORD	13
perfect	1-WORD	6
perfectly	1-WORD	3
perform	1-WORD	4
perhaps	1-WORD	16
period	1-WORD	11
permanent	1-WORD	5
permanently	1-WORD	6
perpetrator	1-WORD	3
person	1-WORD	131
personal	1-WORD	16
personality	1-WORD	3
personally	1-WORD	10
persons	1-WORD	3
perspective	1-WORD	6
perturbed	1-WORD	3
pet	1-WORD	8
petition	1-WORD	5
pets	1-WORD	8
petty	1-WORD	6
philadelphia	1-WORD	6
philippines	1-WORD	3
phone	1-WORD	9
photo	1-WORD	5
photos	1-WORD	7
physical	1-WORD	8
physically	1-WORD	8
pick	1-WORD	9
picture	1-WORD	8
pictures	1-WORD	6
pie	1-WORD	4
piece	1-WORD	6
pieces	1-WORD	3
pile	1-WORD	4
pill	1-WORD	4
pilot	1-WORD	6
pipeline	1-WORD	9
pipelines	1-WORD	3
pity	1-WORD	4
place	1-WORD	120
placed	1-WORD	6
places	1-WORD	23
plague	1-WORD	4
plan	1-WORD	14
planet	1-WORD	28
planning	1-WORD	6
plans	1-WORD	5
plant	1-WORD	8
plants	1-WORD	8
plastics	1-WORD	3
platform	1-WORD	3
play	1-WORD	17
played	1-WORD	5
players	1-WORD	5
playing	1-WORD	17
plays	1-WORD	4
pleasant	1-WORD	3
please	1-WORD	26
plenty	1-WORD	4
plight	1-WORD	3
plus	1-WORD	9
poachers	1-WORD	14
poaching	1-WORD	12
pockets	1-WORD	4
point	1-WORD	50
pointed	1-WORD	3
points	1-WORD	9
poison	1-WORD	3
poisoning	1-WORD	4
polar	1-WORD	14
police	1-WORD	79
policies	1-WORD	15
policy	1-WORD	7
polish	1-WORD	3
political	1-WORD	38
politician	1-WORD	6
politicians	1-WORD	14
politics	1-WORD	27
polls	1-WORD	6
polluted	1-WORD	3
pollution	1-WORD	18
pond	1-WORD	3
ponds	1-WORD	3
